"Webcache URL","Webcache URL"
"Add store language to external resource","Add store language to external resource"
"Enable Imprint","Enable Imprint"
"Enable Privacy Notice","Enable Privacy Notice"
"Enable Cookie Banner","Enable Cookie Banner"
"WebCare - Imprint","WebCare - Imprint"
"WebCare - Privacy Notice","WebCare - Privacy Notice"
"URL where to retrieve the WebCare resources from excluding account information and type","URL where to retrieve the WebCare resources from excluding account information and type"
